,Titles,Scores,title_keywords
0,Which changes in model organisms associated with ageing also change in a similar way in humans?,4,"[('ageing change', 0.9184), ('model organisms', 0.8843), ('humans', 0.8803), ('similar way', 0.8727), ('associated', 0.8409)]"
1,Can we come up with better markers that represent ageing changes in mice that are measurable in human samples (not restricted to blood)?,4,"[('mice measurable', 0.9102), ('better markers', 0.89), ('human samples', 0.8858), ('ageing changes', 0.8826), ('come', 0.8211)]"
2,Which cellular changes that contribute to ageing originate from within the cell? ,4,"[('ageing originate', 0.9413), ('contribute ageing', 0.9243), ('cellular changes', 0.9084), ('originate cell', 0.8926), ('contribute', 0.8494)]"
3,Are there are specific tissues or cell types that have a bigger contribution to ageing?,4,"[('contribution ageing', 0.908), ('specific tissues', 0.8929), ('cell', 0.8541), ('bigger', 0.8497), ('types', 0.8456)]"
4,Can we apply stem cell therapy based on our own young stem cells (from cord blood)?,4,"[('stem cells', 0.9073), ('cord blood', 0.8881), ('young', 0.8602), ('therapy based', 0.8585), ('apply', 0.8476)]"
5,"What ageing-related processes cannot be targeted by lifestyle interventions, where do we need pharmacological interventions?",4,"[('targeted lifestyle', 0.9007), ('ageing related', 0.8961), ('need pharmacological', 0.8865), ('interventions', 0.8733), ('processes', 0.8409)]"
6,"Will therapies based on young cells work in an aged niche/environment, what is the contribution of the systemic environment on the success?",4,"[('young cells', 0.8992), ('therapies based', 0.8978), ('aged niche', 0.8887), ('systemic environment', 0.8656), ('success', 0.8321)]"
7,Which cellular and molecular changes primary contribute to ageing? ,4,"[('contribute ageing', 0.9287), ('molecular changes', 0.8955), ('primary', 0.8658), ('cellular', 0.8628)]"
8,"What do the current (epigenetic) clocks measure, i.e. which cellular/molecular processes do they represent? ",4,"[('epigenetic clocks', 0.9348), ('current epigenetic', 0.9224), ('measure cellular', 0.8844), ('current', 0.8822), ('processes represent', 0.876)]"
9,Is there a limited number of common triggers for age-related diseases? ,4,"[('common triggers', 0.9216), ('triggers age', 0.9175), ('age related', 0.9015), ('diseases', 0.8881), ('limited number', 0.8342)]"
10,Can we create a framework to start a testing and developing ultimate and proximate evolutionary theories in a systematic way?,4,"[('evolutionary theories', 0.9016), ('developing ultimate', 0.8781), ('create framework', 0.869), ('systematic', 0.8425), ('start testing', 0.8415)]"
11,What outcomes/processes do we want to study using the generated longitudinal deep phenotyped data?,4,"[('deep phenotyped', 0.9141), ('phenotyped data', 0.9093), ('generated longitudinal', 0.8802), ('outcomes processes', 0.8798), ('study', 0.8596)]"
12,How do we distinguish ageing from disease (if possible)?,4,"[('distinguish ageing', 0.95), ('ageing disease', 0.9343), ('disease', 0.9047), ('disease possible', 0.8962), ('distinguish', 0.8868)]"
13,What does the minimal dataset look like that we would need to study the different aspects/trajectories of ageing?,4,"[('minimal dataset', 0.9175), ('trajectories ageing', 0.8717), ('different aspects', 0.8619), ('dataset look', 0.8619), ('need study', 0.8281)]"
14,How to measure outcomes and processes (which techniques) to capture different aspects of the ageing process? ,4,"[('measure outcomes', 0.9033), ('ageing process', 0.9023), ('processes techniques', 0.8914), ('different aspects', 0.8802), ('techniques capture', 0.8696)]"
15,What is the effect of sexual dimorphism and ethnicity on different aspects of ageing?,4,"[('dimorphism ethnicity', 0.9252), ('sexual dimorphism', 0.919), ('effect sexual', 0.9059), ('aspects ageing', 0.8881), ('different', 0.8678)]"
16,How we can we better make use of all the data and biobanked samples that have already been collected worldwide (sharing/processing)?,4,"[('data biobanked', 0.9254), ('sharing processing', 0.8925), ('make use', 0.875), ('worldwide', 0.8684), ('better', 0.8454)]"
17,"How to bring scientist from different fields (and which ones) together to collect, analyse, and interpret data?",4,"[('bring scientist', 0.8939), ('different fields', 0.8712), ('analyse interpret', 0.8636), ('ones collect', 0.8522), ('data', 0.8464)]"
18,"How to best integrate and statistically analyse the deep phenotyped data, i.e. what are the best tools (including AI)?",4,"[('analyse deep', 0.9072), ('phenotyped data', 0.9027), ('best integrate', 0.8872), ('statistically', 0.8813), ('tools', 0.8486)]"
19,How can we optimise sharing of materials and (available) data (overcoming regulatory hurdles and crowd sourcing)?,4,"[('optimise sharing', 0.9172), ('crowd sourcing', 0.8754), ('materials available', 0.8745), ('regulatory', 0.8488), ('data overcoming', 0.8483)]"
20,"How can we validate predictions made by AI-tools (not only conceptually, but especially practically)?",4,"[('validate predictions', 0.9276), ('predictions ai', 0.908), ('ai tools', 0.9027), ('conceptually', 0.8596), ('especially practically', 0.8466)]"
21,How to integrate the data obtained from studies in non-human animals?,4,"[('integrate data', 0.9252), ('non human', 0.885), ('data', 0.8778), ('obtained studies', 0.8777), ('animals', 0.876)]"
22,Which gene variants are antagonistic(pos/neg/neutr) pleiotropic?,4,"[('variants antagonistic', 0.9323), ('neutr pleiotropic', 0.9258), ('antagonistic pos', 0.9237), ('pos neg', 0.8858), ('gene', 0.8612)]"
23,What age related changes are associated with many ARDs? ,4,"[('associated ards', 0.9218), ('ards', 0.9139), ('age related', 0.9104), ('related changes', 0.8865), ('changes', 0.8568)]"
24,How to perform in-vitro experiments in human tissue to find cause and effect,4,"[('vitro experiments', 0.9219), ('tissue cause', 0.9003), ('human', 0.8692), ('effect', 0.8674), ('perform', 0.8585)]"
25,What are common tissue independent aging signatures/mechanisms vs. tissue specific signatures?,4,"[('tissue specific', 0.913), ('aging signatures', 0.9088), ('mechanisms vs', 0.8736), ('independent', 0.8566), ('common', 0.8552)]"
26,How does antagonistic pleiotropy contribute to age-related diseases?,4,"[('antagonistic pleiotropy', 0.9339), ('pleiotropy contribute', 0.9086), ('age related', 0.8869), ('diseases', 0.8714), ('contribute age', 0.847)]"
27,Do we have accurate biomarkers of aging? ,4,"[('biomarkers aging', 0.9548), ('accurate biomarkers', 0.9432), ('biomarkers', 0.9175), ('accurate', 0.8683)]"
28,Do we have aging rate indicators?,4,"[('rate indicators', 0.9148), ('aging rate', 0.9144), ('indicators', 0.8765), ('rate', 0.8637)]"
29,What is the basis for sex and genotype-specific differences in response to different anti-aging interventions?,4,"[('sex genotype', 0.9163), ('anti aging', 0.8976), ('specific differences', 0.882), ('interventions', 0.8548), ('basis', 0.8241)]"
30,What is the best timing/duration/dosage or intervention window for different treatments? ,4,"[('best timing', 0.9269), ('different treatments', 0.9185), ('intervention window', 0.9125), ('duration dosage', 0.9107), ('window different', 0.8847)]"
31,How conserved across species are longevity interventions?,4,"[('longevity interventions', 0.9332), ('species longevity', 0.9167), ('conserved species', 0.9009), ('interventions', 0.8777)]"
32,How can we incentivize publication of negative results?/,4,"[('incentivize publication', 0.9417), ('publication negative', 0.9135), ('incentivize', 0.9032), ('negative results', 0.8889), ('publication', 0.8783)]"
33,What is the best design for intervention study in humans?,4,"[('intervention study', 0.9476), ('design intervention', 0.9348), ('study', 0.9032), ('best design', 0.9024), ('humans', 0.8782)]"
34,Are there shorter (<5 years) studies which can provide meaningful information about intervention efficacy?,4,"[('intervention efficacy', 0.9188), ('shorter years', 0.9079), ('years studies', 0.8896), ('studies provide', 0.8759), ('meaningful', 0.8415)]"
35,What non-pharmacological interventions are promising and how can we develop new ones?,4,"[('non pharmacological', 0.9374), ('interventions promising', 0.9355), ('pharmacological interventions', 0.934), ('develop new', 0.8948), ('ones', 0.8649)]"
36,How can we test whether drugs given to mice make them younger (as opposed to retarding rate)? ,4,"[('retarding', 0.8954), ('make younger', 0.8875), ('test drugs', 0.8854), ('given mice', 0.8627), ('rate', 0.8501)]"
37,How can we boost support from govermental/regulatory agencies to translate hits from pre-clinical research to human trials?,4,"[('support govermental', 0.9019), ('human trials', 0.8819), ('boost', 0.8654), ('hits pre', 0.8581), ('agencies translate', 0.8429)]"
38,How do help animal model researchers adopt precision medicine approaches and use genetic/genomics to partition key findings by genotype. Pharmacogenetics matters.,4,"[('pharmacogenetics', 0.9089), ('help animal', 0.8937), ('approaches use', 0.8729), ('model researchers', 0.8613), ('partition key', 0.8572)]"
39,"How do we get animal experimentalists, computational biologists (etc.) to talk to clinicians and vice versa and build a common language? Encourage bidirectional translation",4,"[('bidirectional translation', 0.8909), ('animal experimentalists', 0.8893), ('computational biologists', 0.8692), ('talk clinicians', 0.8651), ('build common', 0.8342)]"
40,How do we perform multi-drug interventions in models and then in humans?,4,"[('multi drug', 0.9188), ('drug interventions', 0.9066), ('interventions models', 0.8785), ('humans', 0.8553), ('perform', 0.8422)]"
41,"How do we design and implement SOPs (clinical trial design, etc.) across the tree of life?",4,"[('implement sops', 0.9249), ('sops clinical', 0.9183), ('trial design', 0.896), ('clinical', 0.8603), ('tree life', 0.854)]"
42,How can we design animal interventions that model the real world without confounding of work?,4,"[('animal interventions', 0.9201), ('confounding work', 0.8974), ('design', 0.87), ('real world', 0.8668), ('model', 0.8591)]"
43,What mechanisms determine longevity of long-lived species? ,4,"[('longevity long', 0.9241), ('determine longevity', 0.9194), ('mechanisms determine', 0.9011), ('lived species', 0.8959), ('species', 0.8671)]"
44,What mechanisms determine resistance to disease?,4,"[('resistance disease', 0.9343), ('determine resistance', 0.9245), ('resistance', 0.916), ('mechanisms', 0.9065), ('disease', 0.8925)]"
45,Are there common multi-omics profiles of longevity?,4,"[('profiles longevity', 0.9141), ('multi omics', 0.9045), ('common multi', 0.8814), ('omics', 0.8766)]"
46,Do birds and mammals have universal aging patterns?,4,"[('universal aging', 0.9209), ('aging patterns', 0.9079), ('mammals universal', 0.9048), ('birds mammals', 0.8771), ('patterns', 0.8417)]"
47,What genes and pathways must be targeted to extend lifespan and healthspan? Identify most important genes. ,4,"[('extend lifespan', 0.9199), ('healthspan identify', 0.8924), ('genes pathways', 0.8907), ('targeted', 0.8682), ('important', 0.8646)]"
48,What small molecules or lifespan interventions can mimic longevity signature?,4,"[('longevity signature', 0.9305), ('mimic longevity', 0.9197), ('lifespan interventions', 0.9157), ('interventions mimic', 0.8959), ('small molecules', 0.8848)]"
49,What are the causal hallmarks of aging? ,4,"[('hallmarks aging', 0.9442), ('causal hallmarks', 0.9393), ('hallmarks', 0.9054), ('causal', 0.8974)]"
50,Is epigenetic drift the cause of aging?,4,"[('drift cause', 0.9407), ('epigenetic drift', 0.9404), ('cause aging', 0.9309), ('epigenetic', 0.8995)]"
51,"We need to understand what we die of, what are the main fragilities that cause death , what we need to fix",4,"[('fragilities cause', 0.9284), ('fix', 0.8925), ('death need', 0.8898), ('understand', 0.8543), ('main', 0.8528)]"
52,We need to understand the resilience factors that allow us to reach our current lifespan! focus on protective rather than risk factors,4,"[('resilience factors', 0.9368), ('current lifespan', 0.886), ('risk', 0.8656), ('focus protective', 0.8624), ('need understand', 0.824)]"
53,"We need to have a systems biology model of aging to underrated human biology, to understand human differences",4,"[('aging underrated', 0.9098), ('systems biology', 0.9007), ('model aging', 0.8958), ('understand human', 0.8752), ('need', 0.8257)]"
54,"We need to understand the relationship between max/median lifespan and healthspan and sick span, and natural decline, from human data",4,"[('median lifespan', 0.9116), ('natural decline', 0.8709), ('sick', 0.8672), ('human data', 0.8668), ('relationship max', 0.8635)]"
55,We need to understand the impact of social emotional factors on human healthspan,4,"[('social emotional', 0.9227), ('impact social', 0.9099), ('human healthspan', 0.9021), ('understand impact', 0.8764), ('factors', 0.862)]"
56,We need to understand germline rejuvenation,4,"[('germline rejuvenation', 0.9695), ('understand germline', 0.9278), ('rejuvenation', 0.9275), ('germline', 0.9202), ('need understand', 0.8389)]"
57,We need to establish broad effective human trial network,4,"[('trial network', 0.916), ('human trial', 0.9057), ('effective human', 0.8924), ('establish broad', 0.8756), ('need', 0.8198)]"
58,We need individualized biomarkers to predict each persons fragilities and guide treatment,4,"[('individualized biomarkers', 0.9275), ('persons fragilities', 0.9089), ('fragilities guide', 0.8975), ('treatment', 0.8687), ('predict', 0.8314)]"
59,We need to consider a flagship project or trial that the field can get behind and support - to transform public opinion on the possibility of extending lifespan and healthspan,4,"[('consider flagship', 0.9078), ('extending lifespan', 0.8997), ('healthspan', 0.8856), ('project trial', 0.8681), ('field support', 0.8555)]"
60,What molecular and cellular processes modulate the pace of aging in mammals?,4,"[('aging mammals', 0.9065), ('cellular processes', 0.9014), ('pace aging', 0.9013), ('modulate pace', 0.892), ('molecular', 0.8542)]"
61,"Can we develop screens for anti-aging efficacy that will work in people (and mice), but whose effects do not require 5 - 40 years to measure in people?",4,"[('aging efficacy', 0.911), ('40 years', 0.9001), ('develop screens', 0.8711), ('effects require', 0.8686), ('people mice', 0.8664)]"
62,What is the added value of non-lifestyle-related interventions on top of lifestyle in humans and how to best measure their effectiveness?,4,"[('related interventions', 0.9183), ('interventions lifestyle', 0.9094), ('non lifestyle', 0.9027), ('added value', 0.8917), ('humans', 0.8806)]"
63,What is the epistatic contribution of different mechanisms to human ageing?,4,"[('epistatic contribution', 0.9338), ('human ageing', 0.8986), ('different mechanisms', 0.8913), ('mechanisms human', 0.8836), ('contribution', 0.8421)]"
64,Which mechanisms are essential for ageing across a wide variety of model organisms and can realistically be adapted in humans?,4,"[('mechanisms essential', 0.9122), ('essential ageing', 0.9017), ('organisms realistically', 0.88), ('ageing wide', 0.8669), ('adapted humans', 0.8629)]"
65,How to measure the extent of the homeodynmaic space,4,"[('extent homeodynmaic', 0.9314), ('homeodynmaic space', 0.9287), ('measure extent', 0.9058), ('measure', 0.8732), ('space', 0.8538)]"
66,How to measure the pace of the shrinkage of the homeodynamic space.,4,"[('shrinkage homeodynamic', 0.9233), ('pace shrinkage', 0.9012), ('measure pace', 0.8912), ('homeodynamic space', 0.8886), ('space', 0.8321)]"
67,How does the body compensate and adapt to any age-related change.,4,"[('body compensate', 0.9217), ('adapt age', 0.9181), ('age related', 0.889), ('change', 0.8511), ('does', 0.8372)]"
68,how to translate biology of ageing into accurate biomarkers of aging,4,"[('biomarkers aging', 0.942), ('accurate biomarkers', 0.9182), ('biology ageing', 0.9052), ('translate biology', 0.8637), ('accurate', 0.8524)]"
69,How to break the glass ceiling of 120 years,4,"[('glass ceiling', 0.8992), ('120 years', 0.8929), ('ceiling 120', 0.8908), ('glass', 0.8767), ('break', 0.8432)]"
70,What are the genetic causes (genes and DNA variants) that contribute to natural variation in aging rates ,4,"[('genetic causes', 0.9306), ('variation aging', 0.913), ('variants contribute', 0.8801), ('rates', 0.8616), ('natural', 0.8582)]"
71,To what extent are causes of natural variation in aging rates modulated by environment and gene-by-environmental interactions,4,"[('aging rates', 0.9184), ('natural variation', 0.8984), ('extent causes', 0.8844), ('environmental interactions', 0.8634), ('modulated', 0.8368)]"
72,How to measure intrinsic biological age in individual humans ,4,"[('measure intrinsic', 0.9179), ('biological age', 0.9155), ('intrinsic biological', 0.9109), ('age individual', 0.8997), ('individual humans', 0.8803)]"
73,Which lifespan / health promoting interventions actually modulate intrinsic aging,4,"[('intrinsic aging', 0.9053), ('lifespan health', 0.8978), ('modulate intrinsic', 0.8961), ('interventions actually', 0.8837), ('promoting', 0.8307)]"
74,What are the ultimate molecular causes of physiological aging ,4,"[('molecular causes', 0.9251), ('physiological aging', 0.9226), ('causes physiological', 0.9217), ('causes', 0.9006), ('ultimate', 0.8553)]"
75,What are epigenetic clocks measuring? ,4,"[('epigenetic clocks', 0.9702), ('clocks measuring', 0.9384), ('epigenetic', 0.9239), ('clocks', 0.9122), ('measuring', 0.884)]"
76,Why do genetically identical organisms (e.g. C57BL/6 mice) kept in identical environment (the same vivarium) still have roughly 2 fold variability in their lifespans (between the first dead mouse and the last dead mouse in an experiment)? ,4,"[('genetically identical', 0.9072), ('mice kept', 0.8873), ('lifespans dead', 0.8757), ('fold variability', 0.8658), ('vivarium roughly', 0.8463)]"
77,Does mutation accumulation cause aging! or it is simply a adaptive response to aging-stress. Considering this can we utilize some of the age associated mutations against aging!,4,"[('mutation accumulation', 0.941), ('cause aging', 0.9105), ('associated mutations', 0.8988), ('stress considering', 0.8633), ('adaptive response', 0.8609)]"
78,Can targeting inflammation in older age slow down the process of tissue aging.,4,"[('inflammation older', 0.9275), ('targeting inflammation', 0.9268), ('tissue aging', 0.9013), ('slow', 0.8347), ('targeting', 0.8321)]"
79,Are there repair mechanisms that remove AGE-crosslinks in the extracellular matrix.,4,"[('age crosslinks', 0.9163), ('crosslinks extracellular', 0.9037), ('repair mechanisms', 0.9031), ('extracellular matrix', 0.8705), ('remove', 0.8506)]"
80,How to reverse or restore cell function lost during aging?,4,"[('restore cell', 0.911), ('cell function', 0.8881), ('function lost', 0.8836), ('reverse', 0.88)]"
81,How to quantify aging? (Clinical biomarkers/ of aging health),4,"[('quantify aging', 0.9638), ('biomarkers aging', 0.935), ('aging clinical', 0.9194), ('clinical biomarkers', 0.8992), ('health', 0.8642)]"
82,Can we live longer than 120 years?,4,"[('120 years', 0.9307), ('longer 120', 0.9283), ('live longer', 0.9278), ('longer', 0.9047), ('years', 0.8793)]"
83,What lifespan extension can we achieve if all hallmarks of aging are adressed at the same time?,4,"[('lifespan extension', 0.904), ('hallmarks aging', 0.8939), ('achieve hallmarks', 0.8627), ('adressed', 0.84)]"
84,"Does fundamental molecular ageing (damage/program) exist and if so, does it cause and/or promote age-related diseases? If so, how? ",4,"[('molecular ageing', 0.9237), ('does fundamental', 0.8796), ('damage program', 0.87), ('exist', 0.866), ('cause promote', 0.8647)]"
85,"Do cell-intrinsic events (DNA damage, proteotoxic stress, mitochondrial dysfunction etc) cause ageing or ageing is caused by systemic factors (hormones, immune system) and/or tissue microenvironment (extracellular matrix, cell-cell communication, stem cell niche)?",4,"[('cause ageing', 0.9177), ('damage proteotoxic', 0.8998), ('cell intrinsic', 0.8992), ('systemic factors', 0.8761), ('events dna', 0.8649)]"
86,Why do genetically identical organisms (e.g. C57BL/6 mice) kept in identical environment (the same vivarium) still have roughly 2 fold variability in their lifespans (between the first dead mouse and the last dead mouse in an experiment)?,4,"[('genetically identical', 0.9072), ('mice kept', 0.8873), ('lifespans dead', 0.8757), ('fold variability', 0.8658), ('vivarium roughly', 0.8463)]"
87,"How can we link evolutionary mechanisms, particularly AP, to diseases of ageing?",4,"[('link evolutionary', 0.9121), ('evolutionary mechanisms', 0.912), ('ap diseases', 0.9076), ('mechanisms particularly', 0.8724)]"
88,Can developments of programmatic theory describe the origins and mechanisms of emergence of diseases of aging?,4,"[('programmatic theory', 0.9072), ('emergence diseases', 0.8957), ('origins mechanisms', 0.8825), ('developments', 0.8527)]"
89,"How can the multi-factorial origins of late life disease be reduced to a small number of general biological principles, drawing on the evolutionary theory of aging?",4,"[('origins late', 0.8904), ('theory aging', 0.8766), ('multi factorial', 0.8746), ('disease reduced', 0.8698), ('biological principles', 0.8527)]"
